Country,ISO_A3,Region,IncomeGroup,Year,Emissions
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1979,17815.13532
Cambodia,KHM,East Asia & Pacific,Lower middle income,1979,10177.7209
Kiribati,KIR,East Asia & Pacific,Lower middle income,1979,NA
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1979,76.384685
"Korea, Rep.",KOR,East Asia & Pacific,High income,1979,172533.275
Kuwait,KWT,Middle East & North Africa,High income,1979,55586.6233
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1979,22943.633
Lebanon,LBN,Middle East & North Africa,Upper middle income,1979,8444.2514
Liberia,LBR,Sub-Saharan Africa,Low income,1979,2685.62491
Libya,LBY,Middle East & North Africa,Upper middle income,1979,50094.5135
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1979,170.777872
Liechtenstein,LIE,Europe & Central Asia,High income,1979,NA
Sri Lanka,LKA,South Asia,Lower middle income,1979,18132.4199
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1979,1742.8113
Lithuania,LTU,Europe & Central Asia,High income,1979,128003.215
Luxembourg,LUX,Europe & Central Asia,High income,1979,15249.3716
Latvia,LVA,Europe & Central Asia,High income,1979,59444.6101
"Macao SAR, China",MAC,East Asia & Pacific,High income,1979,NA
St. Martin (French part),MAF,Latin America & Caribbean,High income,1979,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,1979,28303.432
Monaco,MCO,Europe & Central Asia,High income,1979,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,1979,37665.9508
Madagascar,MDG,Sub-Saharan Africa,Low income,1979,47801.334
Maldives,MDV,South Asia,Upper middle income,1979,31.8601997
Mexico,MEX,Latin America & Caribbean,Upper middle income,1979,362012.517
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1979,3.05776389
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,1979,11857.7964
Mali,MLI,Sub-Saharan Africa,Low income,1979,24801.041
Malta,MLT,Middle East & North Africa,High income,1979,1097.62188
Myanmar,MMR,East Asia & Pacific,Lower middle income,1979,659112.51
Montenegro,MNE,Europe & Central Asia,Upper middle income,1979,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,1979,27541.677
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1979,3.32302492
Mozambique,MOZ,Sub-Saharan Africa,Low income,1979,43494.41
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1979,4665.1646
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1979,944.48672
Malawi,MWI,Sub-Saharan Africa,Low income,1979,7349.218
Malaysia,MYS,East Asia & Pacific,Upper middle income,1979,131982.4058
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1979,7142.4037
New Caledonia,NCL,East Asia & Pacific,High income,1979,NA
Niger,NER,Sub-Saharan Africa,Low income,1979,7956.3465
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1979,162131.637
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1979,9306.8965
Netherlands,NLD,Europe & Central Asia,High income,1979,228827.379
Norway,NOR,Europe & Central Asia,High income,1979,68035.419
Nepal,NPL,South Asia,Low income,1979,22505.535
Nauru,NRU,East Asia & Pacific,High income,1979,NA
New Zealand,NZL,East Asia & Pacific,High income,1979,55998.036
Oman,OMN,Middle East & North Africa,High income,1979,37391.2496
Pakistan,PAK,South Asia,Lower middle income,1979,117082.0079
Panama,PAN,Latin America & Caribbean,Upper middle income,1979,7255.7774
Peru,PER,Latin America & Caribbean,Upper middle income,1979,58834.226
Philippines,PHL,East Asia & Pacific,Lower middle income,1979,94616.367
Palau,PLW,East Asia & Pacific,Upper middle income,1979,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1979,17233.9704
Poland,POL,Europe & Central Asia,High income,1979,617874.13
Puerto Rico,PRI,Latin America & Caribbean,High income,1979,2520.57977
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1979,139394.818
Portugal,PRT,Europe & Central Asia,High income,1979,40296.2952
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1979,54650.206
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1979,NA
French Polynesia,PYF,East Asia & Pacific,High income,1979,NA
Qatar,QAT,Middle East & North Africa,High income,1979,17812.3572
Romania,ROU,Europe & Central Asia,Upper middle income,1979,269314.866
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1979,2964555.53
Rwanda,RWA,Sub-Saharan Africa,Low income,1979,2388.304
Saudi Arabia,SAU,Middle East & North Africa,High income,1979,216984.5731
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1979,68575.073
Senegal,SEN,Sub-Saharan Africa,Low income,1979,9131.7728
Singapore,SGP,East Asia & Pacific,High income,1979,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1979,5026.8092
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1979,7737.4654
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1979,6630.9574
San Marino,SMR,Europe & Central Asia,High income,1979,NA
Somalia,SOM,Sub-Saharan Africa,Low income,1979,16303.406
Serbia,SRB,Europe & Central Asia,Upper middle income,1979,NA
South Sudan,SSD,Sub-Saharan Africa,Low income,1979,NA
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1979,55.244923
Suriname,SUR,Latin America & Caribbean,Upper middle income,1979,10465.0604
Slovak Republic,SVK,Europe & Central Asia,High income,1979,68990.889
Slovenia,SVN,Europe & Central Asia,High income,1979,16830.6113
Sweden,SWE,Europe & Central Asia,High income,1979,105368.096
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,1979,2226.1018
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1979,NA
Seychelles,SYC,Sub-Saharan Africa,High income,1979,214.621372
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,1979,23406.0545
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1979,1.49485083
Chad,TCD,Sub-Saharan Africa,Low income,1979,14061.655
Togo,TGO,Sub-Saharan Africa,Low income,1979,9685.7362
Thailand,THA,East Asia & Pacific,Upper middle income,1979,138182.815
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1979,9014.1566
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1979,33990.23889
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1979,377.158609
Tonga,TON,East Asia & Pacific,Lower middle income,1979,102.325734
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1979,NA
Tunisia,TUN,Middle East & North Africa,Lower middle income,1979,13339.6628
Turkey,TUR,Europe & Central Asia,Upper middle income,1979,141905.285
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1979,2.7028274
Tanzania,TZA,Sub-Saharan Africa,Low income,1979,97909.003
Uganda,UGA,Sub-Saharan Africa,Low income,1979,24192.898
Ukraine,UKR,Europe & Central Asia,Lower middle income,1979,695292.73
Uruguay,URY,Latin America & Caribbean,High income,1979,29797.095
United States,USA,North America,High income,1979,6135462.9
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1979,79217.47624
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1979,85.559213
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,1979,168193.673
British Virgin Islands,VGB,Latin America & Caribbean,High income,1979,37.389313
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1979,36.187057
Vietnam,VNM,East Asia & Pacific,Lower middle income,1979,83053.543
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1979,306.43106
World,WLD,NA,NA,1979,33615147.8631881
Samoa,WSM,East Asia & Pacific,Lower middle income,1979,155.371715
Kosovo,XKX,Europe & Central Asia,Lower middle income,1979,NA
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,1979,6899.5535
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1979,298781.005
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1979,224649.37
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1979,23746.361
Aruba,ABW,Latin America & Caribbean,High income,1980,424.783771
Afghanistan,AFG,South Asia,Low income,1980,15691.266
Angola,AGO,Sub-Saharan Africa,Upper middle income,1980,48001.86616
Albania,ALB,Europe & Central Asia,Upper middle income,1980,11433.5842
Andorra,AND,Europe & Central Asia,High income,1980,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,1980,60172.9218
Argentina,ARG,Latin America & Caribbean,Upper middle income,1980,253870.99
Armenia,ARM,Europe & Central Asia,Lower middle income,1980,14508.3336
American Samoa,ASM,East Asia & Pacific,Upper middle income,1980,15.4709087
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1980,313.033392
Australia,AUS,East Asia & Pacific,High income,1980,433837.438
Austria,AUT,Europe & Central Asia,High income,1980,78845.291
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1980,51110.8965
Burundi,BDI,Sub-Saharan Africa,Low income,1980,2390.7396
Belgium,BEL,Europe & Central Asia,High income,1980,165433.833
Benin,BEN,Sub-Saharan Africa,Low income,1980,43188.434
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1980,8673.0793
Bangladesh,BGD,South Asia,Lower middle income,1980,115248.381
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1980,119752.321
Bahrain,BHR,Middle East & North Africa,High income,1980,10456.55403
"Bahamas, The",BHS,Latin America & Caribbean,High income,1980,NA
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1980,25995.1088
Belarus,BLR,Europe & Central Asia,Upper middle income,1980,188456.163
Belize,BLZ,Latin America & Caribbean,Upper middle income,1980,440.91957
Bermuda,BMU,North America,High income,1980,470.536422
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1980,186438.282
Brazil,BRA,Latin America & Caribbean,Upper middle income,1980,1499555.516
Barbados,BRB,Latin America & Caribbean,High income,1980,867.61326
Brunei Darussalam,BRN,East Asia & Pacific,High income,1980,17658.724
Bhutan,BTN,South Asia,Lower middle income,1980,1035.44918
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1980,11120.348
Central African Republic,CAF,Sub-Saharan Africa,Low income,1980,134472.36
Canada,CAN,North America,High income,1980,711937.51
Switzerland,CHE,Europe & Central Asia,High income,1980,53170.9162
Channel Islands,CHI,Europe & Central Asia,High income,1980,NA
Chile,CHL,Latin America & Caribbean,High income,1980,43958.754
China,CHN,East Asia & Pacific,Upper middle income,1980,2757430.0904
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1980,140755.45
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1980,81570.637
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1980,1234690.64
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1980,56481.666
Colombia,COL,Latin America & Caribbean,Upper middle income,1980,154044.328
Comoros,COM,Sub-Saharan Africa,Low income,1980,252.84686
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1980,311.924699
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1980,7667.4913
Cuba,CUB,Latin America & Caribbean,Upper middle income,1980,56022.784
Curacao,CUW,Latin America & Caribbean,High income,1980,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,1980,NA
Cyprus,CYP,Europe & Central Asia,High income,1980,3785.87352
Czech Republic,CZE,Europe & Central Asia,High income,1980,219692.171
Germany,DEU,Europe & Central Asia,High income,1980,1354782.98
Djibouti,DJI,Middle East & North Africa,Lower middle income,1980,1772.12634
Dominica,DMA,Latin America & Caribbean,Upper middle income,1980,69.482083
Denmark,DNK,Europe & Central Asia,High income,1980,85588.385
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1980,14322.2125
Algeria,DZA,Middle East & North Africa,Upper middle income,1980,83331.195
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1980,23548.427
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1980,84807.931
Eritrea,ERI,Sub-Saharan Africa,Low income,1980,2974.4804
Spain,ESP,Europe & Central Asia,High income,1980,269540.186
Estonia,EST,Europe & Central Asia,High income,1980,70666.1103
Ethiopia,ETH,Sub-Saharan Africa,Low income,1980,58090.723
Finland,FIN,Europe & Central Asia,High income,1980,76384.82189
Fiji,FJI,East Asia & Pacific,Upper middle income,1980,2072.84375
France,FRA,Europe & Central Asia,High income,1980,675156.85
Faroe Islands,FRO,Europe & Central Asia,High income,1980,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1980,27.951877
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1980,11250.5051
United Kingdom,GBR,Europe & Central Asia,High income,1980,806582.53
Georgia,GEO,Europe & Central Asia,Upper middle income,1980,51361.645
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1980,26282.724
Gibraltar,GIB,Europe & Central Asia,High income,1980,101.33741
Guinea,GIN,Sub-Saharan Africa,Low income,1980,59798.244
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1980,1043.19143
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1980,1278.3216
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1980,158.31283
Greece,GRC,Europe & Central Asia,High income,1980,70435.3453
Grenada,GRD,Latin America & Caribbean,Upper middle income,1980,73.725231
Greenland,GRL,Europe & Central Asia,High income,1980,NA
Guatemala,GTM,Latin America & Caribbean,Lower middle income,1980,13835.0275
Guam,GUM,East Asia & Pacific,High income,1980,51.1198351
Guyana,GUY,Latin America & Caribbean,Upper middle income,1980,15663.8534
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1980,17290.46658
Honduras,HND,Latin America & Caribbean,Lower middle income,1980,10979.457
Croatia,HRV,Europe & Central Asia,High income,1980,27177.913
Haiti,HTI,Latin America & Caribbean,Low income,1980,5565.3206
Hungary,HUN,Europe & Central Asia,High income,1980,120487.627
Indonesia,IDN,East Asia & Pacific,Lower middle income,1980,714214.48
Isle of Man,IMN,Europe & Central Asia,High income,1980,NA
India,IND,South Asia,Lower middle income,1980,929414.77
Ireland,IRL,Europe & Central Asia,High income,1980,58358.935
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1980,167342.007
Iraq,IRQ,Middle East & North Africa,Upper middle income,1980,91587.97
Iceland,ISL,Europe & Central Asia,High income,1980,12924.0069
Israel,ISR,Middle East & North Africa,High income,1980,23572.128
Italy,ITA,Europe & Central Asia,High income,1980,477727.329
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1980,NA
Jordan,JOR,Middle East & North Africa,Upper middle income,1980,5534.82824
Japan,JPN,East Asia & Pacific,High income,1980,1136091.34
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1980,219643.092
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1980,28468.693
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1980,18904.72862
Cambodia,KHM,East Asia & Pacific,Lower middle income,1980,14639.7772
Kiribati,KIR,East Asia & Pacific,Lower middle income,1980,30.0258228
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1980,77.950535
"Korea, Rep.",KOR,East Asia & Pacific,High income,1980,175229.771
Kuwait,KWT,Middle East & North Africa,High income,1980,47113.6283
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1980,27499.059
Lebanon,LBN,Middle East & North Africa,Upper middle income,1980,8508.7553
Liberia,LBR,Sub-Saharan Africa,Low income,1980,2826.85842
Libya,LBY,Middle East & North Africa,Upper middle income,1980,53559.8016
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1980,167.928145
Liechtenstein,LIE,Europe & Central Asia,High income,1980,NA
Sri Lanka,LKA,South Asia,Lower middle income,1980,18564.3671
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1980,1809.3254
Lithuania,LTU,Europe & Central Asia,High income,1980,131995.884
Luxembourg,LUX,Europe & Central Asia,High income,1980,14437.3203
Latvia,LVA,Europe & Central Asia,High income,1980,61084.521
"Macao SAR, China",MAC,East Asia & Pacific,High income,1980,553.397894
St. Martin (French part),MAF,Latin America & Caribbean,High income,1980,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,1980,29395.295
Monaco,MCO,Europe & Central Asia,High income,1980,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,1980,39456.1147
Madagascar,MDG,Sub-Saharan Africa,Low income,1980,43738.694
Maldives,MDV,South Asia,Upper middle income,1980,NA
Mexico,MEX,Latin America & Caribbean,Upper middle income,1980,387137.41
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1980,3.1434641
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,1980,10926.7948
Mali,MLI,Sub-Saharan Africa,Low income,1980,29426.021
Malta,MLT,Middle East & North Africa,High income,1980,1208.61824
Myanmar,MMR,East Asia & Pacific,Lower middle income,1980,788821.87
Montenegro,MNE,Europe & Central Asia,Upper middle income,1980,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,1980,37598.349
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1980,3.40153842
Mozambique,MOZ,Sub-Saharan Africa,Low income,1980,37019.696
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1980,4807.6244
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1980,980.18474
Malawi,MWI,Sub-Saharan Africa,Low income,1980,6611.1971
Malaysia,MYS,East Asia & Pacific,Upper middle income,1980,150780.9418
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1980,7327.403
New Caledonia,NCL,East Asia & Pacific,High income,1980,2368.41651
Niger,NER,Sub-Saharan Africa,Low income,1980,8200.6399
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1980,155988.621
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1980,9010.6365
Netherlands,NLD,Europe & Central Asia,High income,1980,219031.363
Norway,NOR,Europe & Central Asia,High income,1980,66457.85
Nepal,NPL,South Asia,Low income,1980,23311.7205
Nauru,NRU,East Asia & Pacific,High income,1980,NA
New Zealand,NZL,East Asia & Pacific,High income,1980,58641.607
Oman,OMN,Middle East & North Africa,High income,1980,25803.77867
Pakistan,PAK,South Asia,Lower middle income,1980,118581.1339
Panama,PAN,Latin America & Caribbean,Upper middle income,1980,6952.0314
Peru,PER,Latin America & Caribbean,Upper middle income,1980,60578.725
Philippines,PHL,East Asia & Pacific,Lower middle income,1980,90455.034
Palau,PLW,East Asia & Pacific,Upper middle income,1980,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1980,18483.1879
Poland,POL,Europe & Central Asia,High income,1980,606341.22
Puerto Rico,PRI,Latin America & Caribbean,High income,1980,2430.04067
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1980,147262.267
Portugal,PRT,Europe & Central Asia,High income,1980,41434.738
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1980,57665.157
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1980,NA
French Polynesia,PYF,East Asia & Pacific,High income,1980,296.815072
Qatar,QAT,Middle East & North Africa,High income,1980,16167.2702
Romania,ROU,Europe & Central Asia,Upper middle income,1980,266432.966
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1980,3028837.5
Rwanda,RWA,Sub-Saharan Africa,Low income,1980,2448.6557
Saudi Arabia,SAU,Middle East & North Africa,High income,1980,260541.6713
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1980,82111.92
Senegal,SEN,Sub-Saharan Africa,Low income,1980,9392.2317
Singapore,SGP,East Asia & Pacific,High income,1980,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1980,5609.9755
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1980,8980.0854
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1980,5907.657
San Marino,SMR,Europe & Central Asia,High income,1980,NA
Somalia,SOM,Sub-Saharan Africa,Low income,1980,16255.966
Serbia,SRB,Europe & Central Asia,Upper middle income,1980,NA
South Sudan,SSD,Sub-Saharan Africa,Low income,1980,NA
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1980,59.465454
Suriname,SUR,Latin America & Caribbean,Upper middle income,1980,11021.6972
Slovak Republic,SVK,Europe & Central Asia,High income,1980,76255.227
Slovenia,SVN,Europe & Central Asia,High income,1980,16418.3323
Sweden,SWE,Europe & Central Asia,High income,1980,97853.2764
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,1980,2100.6185
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1980,NA
Seychelles,SYC,Sub-Saharan Africa,High income,1980,234.645686
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,1980,23191.2417
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1980,1.55485728
Chad,TCD,Sub-Saharan Africa,Low income,1980,16803.345
Togo,TGO,Sub-Saharan Africa,Low income,1980,11575.5012
Thailand,THA,East Asia & Pacific,Upper middle income,1980,144740.237
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1980,9731.9671
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1980,31156.38289
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1980,351.6886
Tonga,TON,East Asia & Pacific,Lower middle income,1980,114.831208
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1980,NA
Tunisia,TUN,Middle East & North Africa,Lower middle income,1980,14533.9905
Turkey,TUR,Europe & Central Asia,Upper middle income,1980,146951.184
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1980,2.8642421
Tanzania,TZA,Sub-Saharan Africa,Low income,1980,83507.79
Uganda,UGA,Sub-Saharan Africa,Low income,1980,26440.239
Ukraine,UKR,Europe & Central Asia,Lower middle income,1980,692574.3
Uruguay,URY,Latin America & Caribbean,High income,1980,31494.248
United States,USA,North America,High income,1980,5896082.8
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1980,76389.52724
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1980,86.984217
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,1980,180109.358
British Virgin Islands,VGB,Latin America & Caribbean,High income,1980,37.857299
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1980,38.247122
Vietnam,VNM,East Asia & Pacific,Lower middle income,1980,85058.473
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1980,337.82639
World,WLD,NA,NA,1980,33480327.2105969
Samoa,WSM,East Asia & Pacific,Lower middle income,1980,189.820234
Kosovo,XKX,Europe & Central Asia,Lower middle income,1980,NA
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,1980,7806.9207
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1980,307875.565
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1980,185987.495
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1980,22756.139
Aruba,ABW,Latin America & Caribbean,High income,1981,519.001013
Afghanistan,AFG,South Asia,Low income,1981,15810.335
Angola,AGO,Sub-Saharan Africa,Upper middle income,1981,41894.79496
Albania,ALB,Europe & Central Asia,Upper middle income,1981,10520.3625
Andorra,AND,Europe & Central Asia,High income,1981,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,1981,53924.8253
Argentina,ARG,Latin America & Caribbean,Upper middle income,1981,245776.76
Armenia,ARM,Europe & Central Asia,Lower middle income,1981,15064.5702
American Samoa,ASM,East Asia & Pacific,Upper middle income,1981,16.5597081
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1981,430.108984
Australia,AUS,East Asia & Pacific,High income,1981,387882.439
Austria,AUT,Europe & Central Asia,High income,1981,75501.606
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1981,55448.8495
Burundi,BDI,Sub-Saharan Africa,Low income,1981,2205.1394
Belgium,BEL,Europe & Central Asia,High income,1981,153822.24
Benin,BEN,Sub-Saharan Africa,Low income,1981,36459.2918
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1981,8415.5595
Bangladesh,BGD,South Asia,Lower middle income,1981,116074.238
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1981,116431.839
Bahrain,BHR,Middle East & North Africa,High income,1981,11138.69836
"Bahamas, The",BHS,Latin America & Caribbean,High income,1981,5977.68204
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1981,19788.5988
Belarus,BLR,Europe & Central Asia,Upper middle income,1981,190307.123
Belize,BLZ,Latin America & Caribbean,Upper middle income,1981,531.04118
Bermuda,BMU,North America,High income,1981,740.936054
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1981,169439.802
Brazil,BRA,Latin America & Caribbean,Upper middle income,1981,1392080.679
Barbados,BRB,Latin America & Caribbean,High income,1981,1113.69587
Brunei Darussalam,BRN,East Asia & Pacific,High income,1981,15004.8609
Bhutan,BTN,South Asia,Lower middle income,1981,1085.73059
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1981,10015.842
Central African Republic,CAF,Sub-Saharan Africa,Low income,1981,104548.437
Canada,CAN,North America,High income,1981,699416.91
Switzerland,CHE,Europe & Central Asia,High income,1981,51483.25
Channel Islands,CHI,Europe & Central Asia,High income,1981,NA
Chile,CHL,Latin America & Caribbean,High income,1981,41831.344
China,CHN,East Asia & Pacific,Upper middle income,1981,2724309.2374
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1981,118980.868
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1981,69936.034
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1981,1079908.06
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1981,50348.702
Colombia,COL,Latin America & Caribbean,Upper middle income,1981,149819.559
Comoros,COM,Sub-Saharan Africa,Low income,1981,249.60952
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1981,289.875617
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1981,7701.5696
Cuba,CUB,Latin America & Caribbean,Upper middle income,1981,57498.086
Curacao,CUW,Latin America & Caribbean,High income,1981,NA
Cayman Islands,CYM,Latin America & Caribbean,High income,1981,194.489366
Cyprus,CYP,Europe & Central Asia,High income,1981,3663.43224
Czech Republic,CZE,Europe & Central Asia,High income,1981,220358.31
Germany,DEU,Europe & Central Asia,High income,1981,1317791.85
Djibouti,DJI,Middle East & North Africa,Lower middle income,1981,1455.18429
Dominica,DMA,Latin America & Caribbean,Upper middle income,1981,96.777784
Denmark,DNK,Europe & Central Asia,High income,1981,73218.923
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1981,13619.1324
Algeria,DZA,Middle East & North Africa,Upper middle income,1981,79915.671
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1981,25095.7716
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1981,93496.614
Eritrea,ERI,Sub-Saharan Africa,Low income,1981,2972.4192
Spain,ESP,Europe & Central Asia,High income,1981,274923.577
Estonia,EST,Europe & Central Asia,High income,1981,70863.4169
Ethiopia,ETH,Sub-Saharan Africa,Low income,1981,54772.993
Finland,FIN,Europe & Central Asia,High income,1981,66642.99221
Fiji,FJI,East Asia & Pacific,Upper middle income,1981,1929.5288
France,FRA,Europe & Central Asia,High income,1981,621534.31
Faroe Islands,FRO,Europe & Central Asia,High income,1981,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1981,32.945073
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1981,11074.70981
United Kingdom,GBR,Europe & Central Asia,High income,1981,789385.06
Georgia,GEO,Europe & Central Asia,Upper middle income,1981,51528.678
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1981,23534.1
Gibraltar,GIB,Europe & Central Asia,High income,1981,91.5696294
Guinea,GIN,Sub-Saharan Africa,Low income,1981,50814.584
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1981,993.12933
