Country,ISO_A3,Region,IncomeGroup,Year,Emissions
Iceland,ISL,Europe & Central Asia,High income,1970,3109.3799
Israel,ISR,Middle East & North Africa,High income,1970,17255.7912
Italy,ITA,Europe & Central Asia,High income,1970,388249.306
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1970,7210.3984
Jordan,JOR,Middle East & North Africa,Upper middle income,1970,2090.95161
Japan,JPN,East Asia & Pacific,High income,1970,941132.584
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1970,186230.159
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1970,21917.286
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1970,15173.6805
Cambodia,KHM,East Asia & Pacific,Lower middle income,1970,23775.9907
Kiribati,KIR,East Asia & Pacific,Lower middle income,1970,NA
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1970,64.772524
"Korea, Rep.",KOR,East Asia & Pacific,High income,1970,88641.352
Kuwait,KWT,Middle East & North Africa,High income,1970,68097.3281
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1970,22771.992
Lebanon,LBN,Middle East & North Africa,Upper middle income,1970,6392.4529
Liberia,LBR,Sub-Saharan Africa,Low income,1970,1688.8839
Libya,LBY,Middle East & North Africa,Upper middle income,1970,70829.5514
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1970,140.294956
Liechtenstein,LIE,Europe & Central Asia,High income,1970,NA
Sri Lanka,LKA,South Asia,Lower middle income,1970,16466.9003
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1970,1794.4611
Lithuania,LTU,Europe & Central Asia,High income,1970,102299.251
Luxembourg,LUX,Europe & Central Asia,High income,1970,19411.8712
Latvia,LVA,Europe & Central Asia,High income,1970,45385.3107
"Macao SAR, China",MAC,East Asia & Pacific,High income,1970,272.7945278
St. Martin (French part),MAF,Latin America & Caribbean,High income,1970,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,1970,19559.297
Monaco,MCO,Europe & Central Asia,High income,1970,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,1970,26313.2626
Madagascar,MDG,Sub-Saharan Africa,Low income,1970,45314.072
Maldives,MDV,South Asia,Upper middle income,1970,21.3782936
Mexico,MEX,Latin America & Caribbean,Upper middle income,1970,210547.8556
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1970,2.47358782
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,1970,12061.4093
Mali,MLI,Sub-Saharan Africa,Low income,1970,25111.389
Malta,MLT,Middle East & North Africa,High income,1970,827.18557
Myanmar,MMR,East Asia & Pacific,Lower middle income,1970,655739.12
Montenegro,MNE,Europe & Central Asia,Upper middle income,1970,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,1970,13026.344
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1970,2.66229757
Mozambique,MOZ,Sub-Saharan Africa,Low income,1970,45072.996
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1970,4924.7542
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1970,693.46024
Malawi,MWI,Sub-Saharan Africa,Low income,1970,6200.6142
Malaysia,MYS,East Asia & Pacific,Upper middle income,1970,113374.2398
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1970,7251.1455
New Caledonia,NCL,East Asia & Pacific,High income,1970,NA
Niger,NER,Sub-Saharan Africa,Low income,1970,8021.2861
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1970,74939.732
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1970,8313.1054
Netherlands,NLD,Europe & Central Asia,High income,1970,183916.774
Norway,NOR,Europe & Central Asia,High income,1970,57051.381
Nepal,NPL,South Asia,Low income,1970,19946.0752
Nauru,NRU,East Asia & Pacific,High income,1970,NA
New Zealand,NZL,East Asia & Pacific,High income,1970,49600.563
Oman,OMN,Middle East & North Africa,High income,1970,11262.66036
Pakistan,PAK,South Asia,Lower middle income,1970,87131.5379
Panama,PAN,Latin America & Caribbean,Upper middle income,1970,5712.0345
Peru,PER,Latin America & Caribbean,Upper middle income,1970,55258.28
Philippines,PHL,East Asia & Pacific,Lower middle income,1970,78220.635
Palau,PLW,East Asia & Pacific,Upper middle income,1970,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1970,6716.2282
Poland,POL,Europe & Central Asia,High income,1970,466179.59
Puerto Rico,PRI,Latin America & Caribbean,High income,1970,2377.51686
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1970,94041.917
Portugal,PRT,Europe & Central Asia,High income,1970,26924.831
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1970,52446.298
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1970,NA
French Polynesia,PYF,East Asia & Pacific,High income,1970,NA
Qatar,QAT,Middle East & North Africa,High income,1970,13147.53868
Romania,ROU,Europe & Central Asia,Upper middle income,1970,176279.491
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1970,2240872.97
Rwanda,RWA,Sub-Saharan Africa,Low income,1970,2033.9629
Saudi Arabia,SAU,Middle East & North Africa,High income,1970,78220.3308
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1970,59376.754
Senegal,SEN,Sub-Saharan Africa,Low income,1970,8236.3061
Singapore,SGP,East Asia & Pacific,High income,1970,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1970,3570.2862
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1970,7406.0861
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1970,4927.5951
San Marino,SMR,Europe & Central Asia,High income,1970,NA
Somalia,SOM,Sub-Saharan Africa,Low income,1970,13181.7
Serbia,SRB,Europe & Central Asia,Upper middle income,1970,NA
South Sudan,SSD,Sub-Saharan Africa,Low income,1970,NA
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1970,39.299597
Suriname,SUR,Latin America & Caribbean,Upper middle income,1970,10002.5777
Slovak Republic,SVK,Europe & Central Asia,High income,1970,53503.762
Slovenia,SVN,Europe & Central Asia,High income,1970,11111.9233
Sweden,SWE,Europe & Central Asia,High income,1970,113240.349
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,1970,1607.1763
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1970,NA
Seychelles,SYC,Sub-Saharan Africa,High income,1970,138.812175
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,1970,11176.8869
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1970,1.46536462
Chad,TCD,Sub-Saharan Africa,Low income,1970,14368.377
Togo,TGO,Sub-Saharan Africa,Low income,1970,9572.318
Thailand,THA,East Asia & Pacific,Upper middle income,1970,109547.883
Tajikistan,TJK,Europe & Central Asia,Lower middle income,1970,7693.7633
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1970,29940.89031
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1970,587.753181
Tonga,TON,East Asia & Pacific,Lower middle income,1970,56.636886
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1970,NA
Tunisia,TUN,Middle East & North Africa,Lower middle income,1970,8479.4321
Turkey,TUR,Europe & Central Asia,Upper middle income,1970,94428.85
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1970,2.265914
Tanzania,TZA,Sub-Saharan Africa,Low income,1970,98932.745
Uganda,UGA,Sub-Saharan Africa,Low income,1970,14722.559
Ukraine,UKR,Europe & Central Asia,Lower middle income,1970,560722.4
Uruguay,URY,Latin America & Caribbean,High income,1970,25510.63
United States,USA,North America,High income,1970,5400503.5
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1970,82935.19789
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,1970,67.630545
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,1970,137392.304
British Virgin Islands,VGB,Latin America & Caribbean,High income,1970,31.9016
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,1970,21.769585
Vietnam,VNM,East Asia & Pacific,Lower middle income,1970,79128.716
Vanuatu,VUT,East Asia & Pacific,Lower middle income,1970,230.16681
World,WLD,NA,NA,1970,27660218.4692441
Samoa,WSM,East Asia & Pacific,Lower middle income,1970,116.577153
Kosovo,XKX,Europe & Central Asia,Lower middle income,1970,NA
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,1970,4839.5209
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1970,253769.713
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1970,234168.07
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1970,24033.927
Aruba,ABW,Latin America & Caribbean,High income,1971,42.7869478
Afghanistan,AFG,South Asia,Low income,1971,14391.7782
Angola,AGO,Sub-Saharan Africa,Upper middle income,1971,39162.17143
Albania,ALB,Europe & Central Asia,Upper middle income,1971,6950.0361
Andorra,AND,Europe & Central Asia,High income,1971,NA
United Arab Emirates,ARE,Middle East & North Africa,High income,1971,41377.84513
Argentina,ARG,Latin America & Caribbean,Upper middle income,1971,213551.78842
Armenia,ARM,Europe & Central Asia,Lower middle income,1971,6383.672
American Samoa,ASM,East Asia & Pacific,Upper middle income,1971,13.2473257
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1971,NA
Australia,AUS,East Asia & Pacific,High income,1971,314446.149
Austria,AUT,Europe & Central Asia,High income,1971,71138.884
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1971,26657.9303
Burundi,BDI,Sub-Saharan Africa,Low income,1971,2201.9823
Belgium,BEL,Europe & Central Asia,High income,1971,154470.0637
Benin,BEN,Sub-Saharan Africa,Low income,1971,34456.5724
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1971,7344.6457
Bangladesh,BGD,South Asia,Lower middle income,1971,107540.625
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1971,88234.353
Bahrain,BHR,Middle East & North Africa,High income,1971,3952.231659
"Bahamas, The",BHS,Latin America & Caribbean,High income,1971,NA
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1971,23613.1932
